pct,quantity_per_item,items
03J,19,4
03J,21,471
03J,8,14
03J,18,44
03J,4,324
03J,50,10
03J,36,12
03J,80,11
03J,35,69
03J,2,15
03J,140,7
03J,224,16
03J,26,15
03J,54,11
03J,5,20
03R,56,264316
03R,12,28
03R,168,701
03R,90,143
03R,20,100
03R,16,76
03R,192,6
03R,10,76
03R,40,25
03R,26,24
03R,21,266
03R,48,16
03R,8,83
03R,50,28
03R,120,28
03R,252,33
03R,184,6
03R,52,13
03R,72,6
03R,33,2
03R,18,13
03R,62,3
15F,28,807596
15F,7,533289
15F,14,35471
15F,252,224
15F,200,122
15F,5,365
15F,3,1096
15F,24,161
15F,40,353
15F,12,338
15F,35,137
15F,27,9
15F,25,26
15F,232,2
15F,10,224
15F,13,35
15F,92,1
15F,32,210
15F,54,10
15F,196,42
15F,58,33
15F,43,11
15F,19,30
15F,91,3
15F,78,1
15F,26,20
15F,41,21
05A,13,71
05A,112,2175
05A,19,142
05A,5,95
05A,23,149
05A,24,179
05A,30,595
05A,168,595
05A,80,18
05A,252,105
05A,10,213
05A,21,638
05A,20,408
05A,50,43
05A,4,201
05A,98,27
05A,47,9
05A,160,1
05A,104,4
05A,70,72
05A,54,3
05A,48,47
05A,49,8
05A,51,5
05F,28,331801
05F,84,12969
05F,5,62
05F,8,108
05F,20,158
05F,224,12
05F,25,5
05F,252,8
05F,270,4
05F,164,2
05F,120,19
05H,30,827
05H,42,657
05H,112,325
05H,100,195
05H,20,278
05H,70,14
05H,3,112
05H,6,42
05H,168,51
05H,44,13
05H,9,24
05H,13,11
05H,63,10
05J,28,116421
05J,84,20801
05J,14,1967
05J,42,206
05J,168,680
05J,60,429
05J,120,45
05J,4,31
05J,16,156
05J,21,73
05J,200,27
05J,24,49
05J,12,104
05J,20,56
05J,100,243
05J,300,8
05J,3,25
05J,90,166
05J,270,3
05J,25,11
05J,72,25
05J,96,14
05R,112,2021
05R,7,59240
05R,30,1097
05R,8,193
05R,16,125
05R,224,7
05R,40,61
05R,448,7
05R,35,35
05R,420,13
05R,60,319
05R,3,124
05R,5,55
05R,10,50
05R,9,11
05R,48,10
05R,132,5
05R,71,1
05T,28,451898
05T,56,242485
05T,8,292
05T,20,136
05T,168,870
05T,54,6
05T,226,6
05T,11,104
05T,3,825
05T,2,186
05T,32,57
05T,126,21
05T,70,7
05T,5,134
05T,240,5
05T,9,18
05T,64,16
05T,72,14
06D,112,3447
06D,84,2762
06D,14,1372
06D,42,107
06D,35,15
06D,72,28
06D,3,404
06D,90,27
06D,150,10
06D,12,46
06D,66,2
06D,4,478
06D,30,55
06D,36,14
06D,2,37
06D,46,10
05C,14,4340
05C,100,1388
05C,112,5152
05C,252,190
05C,39,10
05C,21,273
05C,200,51
05C,15,42
05C,16,160
05C,86,6
05C,20,68
05C,37,14
05C,33,15
05C,108,22
05C,88,12
05C,101,1
05C,54,15
05L,56,433906
05L,14,13161
05L,112,5811
05L,100,599
05L,168,1259
05L,21,329
05L,4,240
05L,32,28
05L,40,50
05L,72,16
05L,3,123
05L,70,18
05L,120,71
05L,45,27
05L,98,16
05L,272,3
05L,83,5
05L,52,2
05L,126,23
05L,88,11
05L,176,2
05L,224,13
05L,24,43
05L,20,60
05L,36,13
05L,34,4
05L,29,30
05L,31,13
05L,2,19
05Y,56,274952
05Y,84,68302
05Y,112,4769
05Y,14,3316
05Y,35,63
05Y,42,565
05Y,100,792
05Y,7,48189
05Y,120,66
05Y,90,724
05Y,8,88
05Y,12,84
05Y,6,21
05Y,4,283
05Y,300,2
05Y,9,23
05Y,126,14
05Y,58,12
05Y,210,8
05Y,48,62
05Y,2,297
05Y,31,19
05Y,54,5
05Y,62,6
05Y,140,14
06A,14,6584
06A,42,236
06A,4,915
06A,5,195
06A,9,58
06A,252,51
06A,10,81
06A,224,63
06A,21,492
06A,360,6
06A,16,46
06A,200,79
06A,11,72
06A,74,6
06A,150,20
06A,300,23
06A,72,9
06A,96,7
15E,28,1355607
15E,84,171805
15E,112,16728
15E,70,50
15E,8,430
15E,20,418
15E,90,1657
15E,4,564
15E,100,3711
15E,1,489
15E,300,80
15E,120,253
15E,200,306
15E,560,6
15E,6,98
15E,29,34
15E,59,1
15E,22,18
15E,92,14
15E,38,36
15E,26,48
15E,270,6
15E,116,5
15E,150,60
15E,72,75
15E,160,5
15E,49,35
15E,105,5
15E,10,156
15E,34,14
15E,57,10
15E,9,25
04E,7,56199
04E,28,690293
04E,15,25
04E,20,220
04E,42,522
04E,72,6
04E,26,8
04E,30,208
04E,12,191
04E,60,19
04E,36,84
04E,31,9
04E,196,8
04E,90,10
04E,100,39
04E,54,18
04E,13,10
04H,14,2862
04H,28,363331
04H,56,69202
04H,84,1667
04H,112,880
04H,7,20563
04H,16,193
04H,24,86
04H,40,45
04H,4,182
04H,100,57
04H,25,6
04H,336,4
04H,224,16
04H,36,61
04H,45,9
04H,48,11
04H,17,15
04H,19,8
04H,88,12
04K,70,33
04K,35,27
04K,224,66
04K,252,22
04K,420,5
04K,144,8
04K,5,45
04K,1,51
04K,24,31
04K,72,15
04K,62,11
04K,840,3
04K,37,4
04K,52,5
04K,11,11
04K,98,9
04L,56,128187
04L,32,54
04L,58,21
04L,16,70
04L,12,54
04L,44,13
04L,90,35
04L,40,14
04L,31,26
04L,36,6
04L,94,2
04L,17,2
04L,224,31
04L,33,4
04M,84,9593
04M,1,49
04M,32,50
04M,40,23
04M,42,129
04M,105,1
04M,100,186
04M,45,17
04M,4,67
04N,35,29
04N,56,67382
04N,4,43
04N,100,88
04N,200,15
04N,76,1
04N,5,13
04N,120,13
04N,6,8
04N,3,19
04N,29,11
04N,44,14
04N,22,16
04N,90,31
15M,23,108
15M,28,1560880
15M,56,968396
15M,112,14423
