pct,quantity_per_item,items
06F,98,3
06K,75,9
06K,55,4
06N,45,7
06N,262,2
06N,144,14
06P,80,6
06P,294,4
06P,68,5
03W,26,8
04C,210,8
04C,300,3
04C,126,4
04D,66,3
04D,126,3
04Q,45,9
04V,184,4
04V,41,3
99D,26,1
05D,45,1
05G,32,6
05G,26,9
05G,48,14
05Q,43,1
05V,91,4
05V,150,11
05W,122,5
05W,72,4
05W,23,9
07M,160,3
07M,270,4
07M,51,3
07M,62,1
07R,9,4
07R,54,2
07T,128,6
07T,17,4
07X,17,2
07X,128,2
07X,18,5
07X,47,4
08D,17,1
08D,500,5
08F,300,3
08F,156,1
08F,33,1
08M,70,3
08M,38,9
08N,13,2
08N,134,6
08N,35,7
08V,19,28
08V,87,4
08V,98,6
08W,80,4
08W,70,9
07P,66,2
07P,420,3
07Y,68,9
07Y,74,2
07Y,225,1
07Y,13,2
07Y,75,2
08C,504,2
08C,81,1
08C,260,2
08C,420,1
08C,63,8
08E,1,20
08G,52,9
08G,45,6
09A,49,2
09A,144,3
07N,22,4
07N,160,6
07N,192,2
07N,57,1
07N,256,3
07Q,37,3
07Q,75,2
07V,43,3
08A,64,2
08A,15,5
08A,156,4
08J,48,4
08J,44,1
08K,110,4
08K,93,4
08K,88,1
08L,31,1
08L,18,11
08P,26,9
08P,9,7
08Q,156,10
08Q,150,7
08R,18,3
08T,33,5
08T,46,2
08T,150,4
08T,59,2
08X,17,2
11E,15,13
11E,58,12
11E,50,6
11M,54,9
11M,85,3
11M,107,1
11M,43,2
11M,400,9
11M,82,6
12D,119,1
12D,38,4
12D,6,17
99N,128,2
99N,183,4
99N,75,6
11X,53,2
15C,91,9
11N,46,4
11N,62,18
11N,59,1
15N,210,6
15N,66,2
15N,288,2
15N,87,1
15N,276,4
09C,58,1
09C,156,6
09C,66,1
09C,126,1
09E,37,4
09E,27,1
09J,70,11
09W,43,2
09W,47,3
10A,53,2
10D,13,1
10E,2,20
10E,6,17
99J,49,9
09D,85,1
09D,62,1
09F,150,5
09F,62,4
09G,26,8
09H,109,5
09H,116,2
09H,270,4
09H,35,30
09H,150,2
09H,80,2
09L,31,5
09N,23,14
09N,13,6
09N,96,4
09P,68,1
09X,2,40
09X,240,4
09X,152,6
09X,6,8
09Y,54,3
09Y,65,8
09Y,37,5
09Y,23,9
09Y,240,1
10C,132,2
99H,18,16
99H,160,4
99H,46,2
99K,270,4
99K,77,1
99K,308,2
10Q,85,3
10Q,29,1
14Y,135,6
14Y,41,1
14Y,26,4
15A,13,3
15A,17,7
15A,54,5
15D,300,12
15D,49,11
15D,29,1
10J,40,11
10J,400,2
10K,48,3
10K,78,1
10K,34,2
10R,83,4
10R,13,4
10R,24,3
10R,184,8
10R,17,1
10R,23,1
10V,18,12
10V,270,5
10V,104,1
10X,46,5
10X,39,2
10X,45,4
11A,26,11
11A,136,2
11A,27,4
11A,59,1
11A,270,7
11J,37,5
99M,35,13
99M,45,3
99M,9,4
99M,75,7
99M,54,4
01C,27,3
01R,68,1
02D,100,8
02E,174,2
02E,47,1
02F,500,1
12F,39,4
00C,49,8
00J,270,1
00K,63,9
00M,164,6
00T,22,8
00T,13,12
00T,66,5
00V,26,5
00Y,88,8
00Y,126,16
01G,54,3
01W,46,6
01W,184,4
01Y,134,3
01Y,300,3
01Y,45,14
01Y,22,7
02A,22,7
02H,108,5
02H,25,2
02H,46,2
02H,78,1
14L,62,3
00Q,79,1
00X,70,12
00X,19,9
01E,125,1
01E,124,3
01K,192,5
02G,75,1
01F,15,14
01T,34,1
01V,41,1
00P,392,4
00P,45,6
00P,22,7
00P,49,3
01H,172,4
01H,99,1
01H,144,3
13T,500,5
13T,400,2
99C,164,5
99C,352,3
99C,88,6
99C,300,6
99C,73,1
03D,2,7
03D,11,4
03D,336,1
03F,92,1
03H,164,7
03K,38,5
03K,108,2
03K,69,1
03Q,160,9
02P,65,1
02Q,52,1
02Q,88,4
02X,41,1
03L,116,3
03L,49,2
03L,45,2
03N,3000,1
02R,51,3
02T,22,5
02W,120,1
03A,23,2
15F,85,3
15F,210,7
05A,74,2
05F,49,3
05J,64,1
05J,17,13
05T,258,5
05T,33,2
05C,242,5
05L,85,5
05Y,79,1
05Y,164,6
06A,240,2
06A,46,8
15E,106,4
04K,126,2
04M,54,4
04M,48,10
04M,3,14
04M,36,3
04N,63,5
15M,288,1
06L,78,3
06L,46,2
06L,134,9
06M,280,5
06M,840,6
07J,120,6
06T,156,5
06T,39,1
06T,63,1
99E,22,5
99E,37,1
99F,63,5
99F,13,5
99F,53,3
99F,22,7
99F,150,4
99G,35,15
99G,78,3
99G,54,8
99G,108,8
99G,76,8
99G,176,5
03V,13,1
04F,360,3
04F,83,4
06F,41,1
06F,77,2
06F,240,1
06K,54,4
06K,52,5
06N,37,4
06N,136,5
06N,164,3
06N,270,6
06N,91,1
03T,19,2
03W,126,5
04C,38,7
04C,92,2
04D,71,1
04Q,6,5
04Q,13,1
04V,122,4
04V,52,2
99D,27,2
99D,72,5
04Y,46,2
04Y,75,1
04Y,300,3
05D,39,1
05D,37,2
05G,164,6
05G,52,6
05N,88,2
05N,104,1
05V,43,1
05W,81,1
05W,70,7
05X,11,5
07L,79,1
07L,400,3
07L,22,1
07M,85,10
07R,86,2
07T,77,3
07X,19,2
07X,72,2
08H,81,1
08H,500,2
08H,34,2
08M,19,5
08N,360,3
08W,37,2
07P,210,4
07P,250,4
07W,8400,1
07W,98,2
07Y,51,1
07Y,38,5
07Y,400,5
08E,52,2
08E,150,6
08E,22,2
08Y,25,1
08Y,88,4
08Y,77,1
08Y,57,2
09A,54,7
09A,27,3
07N,147,1
07N,300,5
07Q,74,2
07Q,54,1
07V,77,1
07V,216,3
08A,77,2
08L,33,3
08L,270,5
08L,264,3
08Q,135,5
08Q,280,11
08Q,33,1
08Q,105,3
08Q,22,3
08R,41,2
08R,19,1
08R,79,1
08T,52,5
08T,24,11
08X,38,2
08X,118,3
11E,128,10
11E,70,4
11M,114,4
11M,77,2
11M,392,6
12D,51,4
12D,504,2
99N,98,10
99N,365,2
99N,160,3
11X,65,1
11X,77,2
15C,1000,2
15C,196,20
15C,182,1
15C,109,1
11N,160,1
11N,128,1
15N,137,1
09E,48,1
09E,25,7
09E,15,4
09J,240,1
09J,46,6
09J,51,2
09J,136,4
09W,256,5
09W,23,6
09W,63,3
10A,19,7
10E,126,8
10E,336,4
09D,13,8
09D,77,3
09D,500,3
09G,83,2
09H,22,1
09L,50,20
09N,54,3
09N,280,8
09N,34,6
09P,49,4
09P,22,3
09P,26,3
09Y,122,6
09Y,250,5
09Y,164,6
10C,22,4
10C,19,4
10C,1,12
10C,2,8
10C,48,4
99H,62,1
99K,300,5
99K,64,5
99K,67,2
10Q,198,1
14Y,164,6
15A,352,1
15D,65,5
10J,65,2
10J,19,3
10K,72,2
10K,65,7
10K,500,2
10R,77,2
10V,128,3
10X,96,2
10X,270,2
11A,186,3
11A,105,3
11J,19,12
11J,66,6
99M,41,3
01C,184,2
02D,23,3
02E,69,2
00C,19,5
00C,364,1
00C,24,2
00D,44,3
00D,63,1
00D,46,1
00K,106,1
00K,79,1
00T,55,3
00T,124,1
00V,13,3
00Y,43,4
01D,19,2
01G,85,3
01G,87,1
14L,94,1
14L,210,1
14L,448,3
00Q,37,1
01A,63,2
01A,79,1
01E,33,4
02G,72,1
01J,52,1
01V,19,7
01V,80,2
99A,117,2
01H,150,2
01H,59,2
01H,33,3
01H,128,2
13T,62,4
99C,55,2
99C,75,2
02Y,53,3
02Y,98,3
03D,27,3
03E,37,3
03F,57,1
03H,19,3
03K,48,2
03K,19,1
03Q,62,3
02X,17,11
03L,22,6
03N,102,1
03N,336,1
02N,52,1
02N,57,1
02N,120,4
02R,77,3
02R,141,1
02T,120,13
02W,13,1
02W,25,2
03A,13,2
03J,27,3
03J,52,2
03R,128,4
15F,256,1
15F,68,1
05F,155,4
05F,72,1
05J,26,6
05J,53,3
05J,186,2
05R,126,5
05R,270,3
05T,45,5
06D,15,2
06D,18,8
06D,75,3
05C,66,2
05C,82,1
05L,256,2
05Y,86,1
05Y,27,4
15E,500,6
15E,114,3
15E,135,3
04K,85,1
04L,59,1
04M,39,1
04N,34,2
04N,80,2
15M,87,1
06L,136,4
06L,282,1
06L,47,1
06L,76,2
06M,57,4
07J,140,5
07K,54,3
07K,150,1
06Q,91,3
06Q,164,1
07G,165,1
07H,3000,1
07H,136,1
99E,17,7
99E,33,6
99F,78,2
99F,144,2
99F,34,3
99F,65,4
99G,51,3
04F,27,2
04F,25,5
04F,44,1
06F,33,2
06F,180,10
06K,34,3
06K,101,1
06P,52,2
03T,38,2
03W,350,2
04C,52,4
04C,43,1
04C,41,2
04D,34,1
04V,108,1
04V,27,4
99D,336,1
99D,80,3
04Y,65,5
04Y,63,1
05D,178,2
05N,106,1
05Q,65,5
05Q,25,1
05V,39,1
05W,69,2
05W,68,2
05W,33,3
05X,126,1
05X,43,3
05X,336,3
07M,98,5
07M,448,3
07M,25,10
07R,46,3
07R,125,4
07R,61,3
07T,47,1
07X,312,1
08D,98,1
08D,66,1
08F,150,2
08F,85,1
08F,76,2
08F,82,4
08H,65,1
08M,22,1
08N,26,3
08V,15,4
08V,13,1
07P,22,3
07W,29,6
07W,26,3
07Y,64,1
07Y,34,1
08G,22,4
08G,88,6
08Y,504,2
07N,208,9
07N,150,2
07Q,39,2
07V,64,1
08J,150,5
08J,49,3
08K,135,1
08K,400,1
08P,18,3
08Q,53,2
08Q,92,1
08T,20,5
08T,34,2
08X,264,1
08X,125,2
08X,119,1
11E,350,2
11E,80,2
11M,49,6
12D,41,2
11X,104,1
15C,360,2
15C,121,1
11N,54,2
15N,108,1
15N,152,1
09C,256,1
09E,43,1
09E,75,1
10D,44,2
10D,152,7
10E,15,6
10E,98,1
99J,280,3
09D,18,5
09D,47,7
09D,61,1
09F,43,2
09F,76,1
09G,69,1
09G,47,1
09G,54,7
09H,23,6
09H,392,1
09H,186,4
09N,232,2
09N,50,7
09P,126,2
09P,300,11
09P,63,6
09P,33,1
10C,20,16
99K,33,9
99K,44,4
10Q,448,3
10Q,78,2
14Y,47,1
14Y,360,2
15A,74,1
15D,138,1
10J,38,3
10J,118,2
10J,86,1
10K,5,14
10R,85,5
10R,31,2
10R,67,1
10R,34,5
10V,67,1
10V,94,1
10V,37,3
10X,53,1
10X,66,1
11A,76,2
11A,160,1
11A,102,1
11J,169,2
99M,280,2
02F,39,4
00D,150,11
00D,51,1
00T,400,1
00V,225,6
01G,220,1
01W,364,1
02A,41,4
02A,27,1
14L,59,1
14L,91,1
00Q,51,5
00Q,96,1
01A,43,2
01E,72,2
01E,336,4
01E,54,2
02G,39,3
02G,49,3
01F,11,5
01F,25,5
01J,210,1
01J,72,1
99A,150,2
00L,64,2
00L,54,5
00L,69,2
13T,114,4
99C,74,1
02Y,180,6
03D,23,1
03E,22,3
03F,39,4
03H,17,6
03Q,86,1
03Q,116,1
02P,41,1
02P,57,1
02Q,26,3
02X,46,2
03N,54,1
02N,72,4
02N,64,1
02R,89,2
02R,53,1
02R,50,2
02T,45,1
02W,9,8
03J,77,6
03R,118,3
15F,136,1
05A,122,5
05H,180,2
05J,11,2
05R,26,5
05T,46,1
06D,128,2
05Y,74,2
05Y,68,1
06A,68,1
06A,67,1
15E,73,1
15E,216,2
04E,63,1
04H,31,2
04K,25,4
04K,108,1
04K,180,2
04L,5,12
15M,270,1
06H,113,1
06L,132,1
06M,85,1
06V,34,1
06W,63,5
06Q,166,1
07H,75,3
99E,13,10
99G,300,3
04F,23,5
04F,76,1
04G,41,5
06P,25,5
04C,27,3
04D,140,8
04Q,22,1
05G,106,1
05Q,58,5
05Q,164,1
05Q,184,4
05V,95,1
05V,98,1
05W,204,1
05W,47,1
07M,135,3
07M,110,1
07T,196,2
07X,184,2
08H,69,1
08H,102,1
08N,43,3
08N,23,1
08V,22,2
08V,146,1
08V,62,1
08V,88,1
08V,65,4
08W,45,1
07W,119,2
07Y,25,1
08C,38,2
08E,63,3
08G,300,2
08Y,210,1
08Y,160,2
08Y,9,2
08Y,500,1
09A,66,1
09A,43,1
09A,98,3
07N,51,3
07Q,360,1
08J,256,1
08P,77,1
08P,17,3
08T,250,2
08T,1960,1
08X,156,3
08X,46,2
08X,91,3
11E,96,1
11E,27,3
11M,208,3
11M,92,1
12D,73,2
99N,78,2
99N,143,2
11X,27,4
15C,560,1
11N,110,2
11N,462,2
15N,365,2
09E,51,2
09J,114,3
09J,45,4
09J,15,1
09J,52,2
09J,566,1
10A,91,1
10E,59,1
10E,75,3
10E,280,1
10E,4,5
99J,33,3
09D,128,2
09G,125,4
09H,9,8
09H,88,1
09H,64,3
09L,250,5
09N,49,6
09P,364,2
09X,110,1
09X,31,2
09X,122,1
09Y,228,1
10C,91,1
99K,62,4
99K,61,1
99K,59,1
10Q,144,1
14Y,71,5
15A,37,1
15D,560,3
15D,67,1
15D,53,2
10J,78,1
10J,34,1
10K,61,1
10K,63,3
10K,196,1
10R,52,3
10V,62,2
10V,212,1
10X,37,5
10X,65,4
10X,98,1
11A,163,1
11A,116,2
01C,77,2
01C,58,1
02D,51,2
02E,126,1
02F,65,1
00J,162,1
00K,280,1
00V,41,2
00V,126,4
01G,31,1
01Y,91,1
01Y,33,3
00Q,45,4
00Q,46,3
00R,52,4
00X,94,1
02G,180,4
01J,86,2
01J,336,3
01X,33,6
99A,420,1
99A,156,1
00L,41,5
01H,142,1
01H,77,1
03D,49,1
03D,75,3
03E,44,1
03E,57,2
03F,78,1
03F,160,1
03Q,43,1
03Q,162,1
02P,79,1
02P,76,2
03L,79,1
02N,37,2
02R,54,1
02R,392,1
03J,17,4
03J,45,4
03J,43,1
03J,15,5
03J,196,2
03J,53,3
03R,105,1
05F,19,4
05H,31,1
05J,43,6
05R,49,5
05T,162,1
06D,180,3
06D,13,3
05C,78,1
05C,74,2
06A,75,3
15E,39,3
15M,220,2
04E,49,3
04H,13,3
04L,49,1
04M,118,1
04N,47,3
15M,73,2
06M,65,2
06V,200,3
06W,128,1
07J,38,2
06Q,150,1
07G,17,4
07H,192,1
07H,41,2
99F,93,2
99G,240,3
99G,65,2
03V,29,3
04G,59,2
06F,67,2
06N,102,4
06N,41,2
03W,103,1
04C,106,1
04Q,51,1
99D,38,1
99D,25,2
05N,105,1
05N,73,1
05Q,47,1
05W,50,3
07M,130,2
07T,53,2
08D,18,2
08D,256,2
08F,240,1
08N,46,2
08W,65,1
07W,43,1
07W,73,1
07W,71,2
07W,133,1
08C,85,1
08G,121,1
08Y,91,1
09A,9,6
07N,190,1
07N,47,1
07V,22,2
08A,256,1
08A,63,1
08J,15,3
08K,81,1
08Q,74,1
08R,9,2
08R,62,6
08T,51,1
11E,240,2
12D,94,6
12D,62,5
99N,81,2
11X,55,2
11X,240,3
11X,95,1
15C,156,2
11N,94,1
15N,186,4
09C,23,1
09E,102,1
09E,33,1
09E,49,5
09J,567,1
09W,280,1
10A,63,1
10A,76,1
10A,45,1
10E,49,2
99J,69,2
09F,45,1
09G,113,3
09G,270,4
09G,43,1
09G,31,1
09H,196,2
09L,65,3
09L,192,3
09L,160,2
09N,39,1
09N,46,3
09X,336,3
09Y,270,4
10C,76,1
99H,130,4
10Q,34,3
10V,500,4
10V,59,1
10V,126,5
10X,67,1
10X,448,1
10X,34,1
10X,500,1
99M,74,1
99M,67,2
99M,23,4
02D,38,2
02E,65,1
00C,126,1
00M,57,2
00T,47,2
00Y,400,1
01D,161,1
01Y,71,2
01Y,288,1
02A,53,4
02A,77,1
02H,29,2
02H,66,1
00R,105,1
00X,102,4
01K,294,1
01F,22,1
01J,49,2
01V,96,1
01X,104,1
99A,184,2
01H,64,4
13T,162,3
13T,106,2
13T,78,2
02Y,51,1
03E,54,1
03F,52,1
03H,46,1
03K,500,1
03Q,564,1
02Q,91,1
02Q,73,1
02N,55,2
02T,85,1
03J,150,4
03R,19,6
03R,102,1
15F,448,2
15F,59,2
05F,55,1
05T,186,1
05C,57,1
06A,450,2
15E,95,1
04L,51,1
04M,55,2
04N,25,1
15M,448,1
15M,109,1
06L,96,1
06M,59,2
06Y,280,1
07H,225,2
99E,83,1
99E,43,2
99F,130,1
03V,70,1
04F,124,1
04F,82,1
06F,184,1
06F,840,1
06K,182,2
06K,420,1
06P,19,3
03W,360,1
03W,23,7
04D,96,1
04Y,108,1
05N,94,2
05N,156,1
05Q,33,2
05X,75,1
07L,17,4
07L,19,1
08H,364,2
08M,39,1
08M,78,1
08M,43,1
08V,25,1
08W,63,1
08W,29,1
07W,135,1
08C,360,3
08C,88,1
08G,74,1
08G,136,3
07Q,77,1
07V,700,1
08A,51,1
08J,22,3
08J,252,1
08J,46,1
08K,528,1
08K,53,3
08L,34,2
08L,23,2
08L,27,2
08Q,94,1
08T,360,2
11E,840,1
11M,98,1
11M,61,1
15C,356,1
15N,240,1
09E,74,1
09J,108,1
09J,128,1
10D,36,2
09F,336,6
09G,75,2
09N,186,3
09P,250,4
09X,270,2
09X,52,1
99H,41,2
10Q,133,2
14Y,53,2
10J,91,1
10K,41,1
10L,37,2
10R,46,4
10R,250,2
10R,500,2
10R,94,1
10V,61,1
10X,97,1
10X,62,2
11A,68,2
11A,114,1
11J,65,3
99M,103,1
99M,37,3
99M,77,1
99M,31,1
01R,252,1
02D,19,4
00M,72,3
01D,13,3
01W,150,6
02A,125,1
14L,86,1
00Q,54,1
00X,47,1
00X,52,1
01K,216,2
02M,41,1
01F,27,10
01J,67,1
00P,26,1
99C,71,1
02Y,400,1
03D,150,4
03H,55,2
03Q,400,3
02X,59,1
02X,62,1
02R,250,1
02T,154,1
03J,39,1
05F,52,1
05F,32,1
05R,75,1
05L,136,1
04K,184,2
04M,77,1
04M,67,1
15M,500,1
06H,71,2
06H,93,4
06V,280,1
06W,33,4
06Y,34,1
06Y,504,1
06Y,196,2
07J,89,1
07J,51,1
06Q,41,2
06Q,57,1
06T,71,2
06T,75,1
07G,54,1
07G,19,2
07H,79,1
03V,252,1
04G,43,1
06P,53,1
03T,37,2
03T,54,1
03T,400,1
04C,44,2
04D,38,1
04D,88,1
04V,86,1
05D,26,2
07L,250,1
07R,62,1
07R,31,1
07X,400,1
07X,108,1
08D,286,1
08D,26,1
08M,49,1
08V,69,1
07W,154,1
08C,268,1
08C,19,1
09A,448,1
09A,189,1
07N,846,1
07V,144,2
08A,68,2
08A,44,1
08J,226,1
08X,39,1
11E,45,2
11N,600,1
11N,328,1
09E,66,1
09E,73,1
10E,63,2
99J,144,1
09G,161,1
09X,47,1
10Q,118,2
15A,33,1
15D,240,1
10J,17,5
10K,55,1
10L,504,1
10R,504,2
10R,40,3
10R,204,1
10X,61,1
11J,59,1
11J,288,4
02D,58,1
02E,196,1
00V,17,1
01Y,256,1
00Q,66,1
00X,26,2
00X,133,2
01J,126,6
01V,26,1
00N,136,1
13T,66,2
99C,59,1
03Q,55,1
03L,200,2
03N,29,3
02N,240,1
15F,94,3
15F,123,2
05Y,134,1
05Y,116,2
06A,55,1
15E,392,1
04L,504,1
06V,77,1
06Q,102,1
04F,80,1
06P,72,1
03T,46,1
03W,83,1
04C,55,1
04V,102,1
04V,68,1
05V,65,1
07L,34,1
07R,73,1
08V,164,1
08W,86,1
07W,66,1
07Y,163,1
08E,49,2
08E,51,4
08Y,92,6
09A,67,1
09A,38,2
09A,23,1
07N,46,3
08A,43,1
08A,18,1
08K,119,2
08X,116,2
99N,79,1
11X,64,1
15C,147,1
11N,75,2
11N,47,2
15N,125,1
09C,22,1
09D,74,1
09X,27,1
09X,50,1
10C,75,2
99K,108,1
10J,51,1
10J,44,1
10V,55,2
99M,61,2
01C,96,2
02E,130,1
02E,77,1
02E,150,1
02F,66,1
02F,74,2
00C,336,1
00V,256,1
01D,27,1
01G,34,1
01G,104,1
01G,33,1
00Q,53,1
01A,76,1
01K,61,1
01K,55,1
02G,45,2
02M,46,1
01X,53,1
00L,79,1
13T,152,1
03E,72,1
03F,86,2
03H,37,1
03Q,81,1
02T,504,2
02W,81,1
03A,67,1
03J,25,1
03J,61,1
03J,177,1
03R,61,3
15F,79,1
05H,38,4
05J,34,1
05R,34,1
06D,63,1
05L,48,1
04H,63,1
04L,38,2
04L,77,1
04N,31,1
06M,75,1
06W,52,1
07J,13,2
04F,33,1
06K,132,2
06N,97,1
06N,400,1
06P,158,1
03W,44,1
05Q,44,1
05X,69,1
07L,77,1
07R,39,1
07R,71,4
08H,46,1
08H,59,1
08N,33,1
08V,280,1
08W,162,1
07W,118,1
08E,336,1
08E,43,1
08Y,46,2
09A,25,1
07Q,55,1
08A,31,2
08A,98,1
08L,53,1
08L,210,1
11E,71,1
11X,47,1
11N,116,1
09E,69,1
09J,81,1
10D,19,1
10D,33,1
99J,79,1
99J,448,1
09D,144,1
09D,294,1
09G,82,2
09N,69,1
09P,92,1
10C,400,1
99H,336,2
10L,33,3
10X,51,2
11J,240,1
01R,74,1
01R,61,1
00J,98,1
00M,132,1
00T,31,1
00V,33,1
00Y,75,1
01D,67,2
01D,68,1
01G,89,1
01W,119,1
01Y,308,1
01Y,53,1
02H,61,3
02H,67,1
00R,128,1
01E,47,1
01K,27,1
02G,80,1
02G,78,1
02G,54,1
01J,48,1
01X,448,1
00N,78,1
03K,82,1
03M,102,1
02Q,31,1
03L,52,1
03N,53,1
15F,160,1
05H,37,1
05H,300,1
05R,31,4
05R,54,1
05T,31,2
05L,33,1
05Y,69,1
06A,38,1
04K,172,1
15M,177,2
15M,105,1
15M,101,1
06L,43,1
06W,75,1
07J,29,1
99F,51,2
99F,59,1
03V,35,1
06F,37,1
06K,65,1
03W,80,1
03W,86,1
04C,75,1
99D,55,2
99D,128,2
04Y,45,1
05G,840,1
05N,107,1
05Q,76,1
07L,53,1
07R,118,1
07R,102,1
07T,108,1
07T,9,1
08H,39,1
08N,47,1
07Y,46,1
07Y,185,1
08Y,420,1
07N,191,1
07V,38,1
08A,80,1
08P,336,2
08Q,270,1
08R,93,1
08T,26,1
08X,37,1
11M,183,2
12D,2100,1
15C,79,1
15C,376,1
11N,136,1
11N,74,1
09J,77,1
09J,33,1
10A,86,1
10E,43,2
09P,600,1
09X,87,1
09X,67,1
09Y,400,1
99H,228,1
14Y,86,1
10J,31,1
10L,200,2
10V,68,1
10X,286,1
01C,28,430620
01C,7,62952
01C,30,134
01C,126,15
01C,38,10
01C,12,274
01C,72,25
01C,1,1469
01C,44,16
01R,56,159434
01R,1,111
01R,84,2529
01R,42,315
01R,21,262
01R,120,24
01R,4,145
01R,80,22
01R,2,36
01R,280,7
01R,15,32
02D,18,27
02D,28,305320
02D,56,35110
02D,4,153
02D,112,434
02D,42,230
02D,1,1000
02D,60,82
02D,40,12
02D,16,65
02D,50,4
02D,30,199
02D,24,4
02D,35,22
02D,13,4
02D,36,25
02D,17,3
02D,2,12
02E,84,16038
02E,14,2271
02E,60,423
02E,24,26
02E,140,20
02E,252,51
02E,2,45
02E,90,55
02E,40,38
02E,6,16
02E,200,40
02E,16,84
02E,17,14
02E,108,7
02E,20,23
02E,36,29
02F,12,91
02F,14,3643
02F,28,431936
02F,56,182760
02F,30,138
02F,1,2654
02F,8,85
02F,25,33
02F,100,277
02F,252,55
02F,13,6
02F,11,15
02F,40,56
02F,5,217
02F,49,6
02F,132,6
02F,34,5
02F,31,7
02F,32,30
02F,91,2
02F,79,1
02F,44,10
12F,28,639267
12F,84,16536
12F,14,6666
12F,2,30
12F,10,113
12F,21,192
12F,80,5
12F,36,60
12F,70,53
12F,90,145
12F,50,34
12F,120,13
12F,25,34
12F,48,29
12F,9,29
12F,11,25
12F,4,111
12F,228,5
12F,6,37
12F,64,17
00C,84,2928
00C,1,55
00C,10,50
00C,16,23
00C,15,6
00C,100,104
00C,4,34
00C,30,77
00C,252,8
00C,36,2
00C,5,24
00D,14,13327
00D,28,672589
00D,112,3360
00D,32,66
00D,168,844
00D,30,564
00D,24,99
00D,15,46
00D,126,22
00D,70,38
00D,50,29
00D,19,10
00D,40,53
00D,86,2
00D,29,17
00D,45,12
00D,58,18
00D,25,13
00D,26,11
00D,34,15
00D,360,1
00J,56,166909
00J,9,16
00J,48,12
00J,21,1421
00J,10,77
00J,43,3
00J,11,131
00J,2,102
00J,23,11
00J,1,341
00J,224,31
00J,200,43
00J,144,1
00J,120,17
00J,24,31
00J,32,22
00J,840,1
00K,14,4777
00K,84,30132
00K,5,48
00K,40,65
00K,43,11
00K,24,49
00K,1,334
00K,8,172
00K,252,82
00K,49,42
00K,38,12
00K,13,72
00K,22,22
00K,23,21
00K,39,6
00K,100,681
00K,72,35
00K,48,18
00K,126,12
00K,53,5
00M,28,751947
00M,4,412
00M,10,87
00M,35,68
00M,21,636
00M,15,51
00M,12,133
00M,16,193
00M,11,84
00M,36,82
00M,29,23
00M,34,6
00M,33,16
00M,300,16
00M,140,14
00M,2,144
00M,120,10
00M,52,21
00M,24,23
00M,92,13
00M,22,19
00T,23,4
00T,21,437
00T,36,23
00T,3,504
00T,60,523
00T,46,7
00T,1,754
00T,252,47
00T,224,25
00T,133,8
00T,24,23
00T,196,3
00T,15,30
00T,19,4
00T,52,3
00T,74,5
00T,70,10
00T,63,6
00T,150,10
00V,28,388927
00V,15,49
00V,21,136
00V,42,379
00V,100,157
00V,308,2
00V,8,78
00V,20,85
00V,66,7
00V,180,13
00V,224,18
00V,3,42
00V,200,7
00V,252,10
00V,2,88
00Y,7,35460
00Y,84,20599
00Y,112,1714
00Y,168,598
00Y,30,360
00Y,63,12
00Y,40,132
00Y,10,57
00Y,70,19
00Y,32,12
00Y,35,64
00Y,49,8
00Y,18,10
00Y,25,11
01D,28,371880
01D,168,1082
01D,7,27158
01D,252,72
01D,90,205
01D,49,8
01D,25,5
01D,23,2
01D,35,20
01D,24,24
01D,70,15
01D,4,55
01D,11,7
01D,2,14
01D,72,16
01D,51,1
01G,28,366423
01G,90,237
01G,11,86
01G,252,47
01G,21,1478
01G,76,1
01G,140,22
01G,200,72
01G,42,344
01G,3,365
01G,10,80
01G,23,17
01G,52,14
01G,72,10
01G,44,28
01G,5,111
01G,22,12
01G,64,2
01G,80,1
01W,14,7992
01W,28,514927
01W,42,621
01W,168,607
01W,10,76
01W,3,198
01W,60,230
01W,30,221
01W,24,62
01W,35,72
01W,43,1
01W,126,10
01W,22,25
01W,18,45
01W,8,120
01W,12,137
01W,224,34
01W,5,79
01W,240,5
01W,160,6
01W,54,3
01W,13,23
01W,252,18
01W,26,8
01W,72,21
01W,70,30
01Y,28,475598
01Y,68,3
01Y,84,34602
01Y,168,869
01Y,50,22
01Y,192,5
01Y,140,23
01Y,10,80
01Y,16,114
01Y,224,29
01Y,30,223
01Y,60,213
01Y,252,68
01Y,196,19
01Y,63,4
01Y,20,74
01Y,18,25
01Y,40,49
01Y,504,2
01Y,44,14
01Y,180,3
01Y,8,100
01Y,17,13
01Y,3,429
01Y,70,18
02A,28,283324
02A,112,2607
02A,168,776
02A,100,597
02A,20,93
02A,42,398
02A,120,53
02A,60,527
02A,200,40
02A,300,8
02A,40,69
02A,2,202
02A,50,13
02A,59,1
02A,48,11
02A,19,15
02A,126,21
02A,180,21
02A,35,39
02A,36,32
02A,6,12
02H,84,30248
02H,112,4111
02H,42,604
02H,10,129
02H,54,13
02H,23,5
02H,96,18
02H,30,583
02H,12,45
02H,35,35
02H,64,15
02H,44,16
02H,126,19
02H,252,18
02H,72,15
02H,34,2
02H,8,73
02H,13,9
02H,4,44
02H,88,7
02H,240,4
14L,7,197493
14L,14,15230
14L,28,984139
14L,56,195789
14L,18,40
14L,24,156
14L,42,1204
14L,112,2918
14L,4,1053
14L,8,208
14L,16,351
14L,60,684
14L,68,9
14L,3,1117
14L,90,519
14L,120,49
14L,35,79
14L,200,39
14L,23,25
14L,1,3887
