pct,items_28d,total_items,net_cost_28d
01C,427787,564865,428006.32000000007
02D,300760,336528,296100.18
12F,636722,884347,761271.5399999999
00C,87656,206447,92475.54
01G,361738,532114,364012.2500000002
01E,332244,457583,342836.59999999986
01K,783457,998327,779693.1300000002
01J,504556,552287,549620.53
01T,412979,478460,418615.5100000003
99A,1031415,1273740,1026299.0100000005
00P,351443,626673,361460.43
13T,487235,888674,504984.57
03D,440536,478050,457327.01000000007
03E,364715,450941,378855.82
03K,663941,700267,679013.94
03M,298663,353680,323763.55000000005
02P,655843,790038,667944.7100000003
02X,930282,1059389,959625.9600000004
02R,403063,698363,453283.5900000001
03A,138035,422171,147118.72999999992
06D,70644,237665,71716.59999999998
06A,150190,472328,154752.17999999988
15E,1328472,2457914,1378218.0999999999
04K,473215,708112,492725.0400000001
04M,110236,236510,112643.11999999997
04N,278394,347912,295872.22
06M,360067,634459,366820.81000000006
06V,589933,606173,595845.0199999999
06Y,634284,690094,650990.05
07H,704618,842278,753518.4400000001
99E,278901,579424,317142.5299999999
03V,252900,259227,259535.4800000001
06P,158689,367395,172917.55999999997
99D,534392,559535,599767.9699999999
05N,531403,787310,614663.3699999998
05V,299695,411275,312353.45999999985
07R,109099,298581,109062.14999999994
07T,140748,347378,151763.34999999995
08H,106436,266396,106850.49999999997
08M,638095,778415,649830.0600000002
08N,75467,454515,78578.78999999996
07W,113731,556204,125077.38999999991
08C,67523,190054,72833.65999999999
07V,110474,562663,132353.9499999999
11M,827698,1352789,839102.2800000003
12D,323619,459097,387370.05000000005
99N,826270,1221770,833533.0700000001
10A,227336,449040,229692.31
09F,305044,536333,308661.2599999999
09G,665755,1222026,711508.1400000001
09P,426067,573970,437581.42000000016
10C,114100,189982,114636.83999999995
99H,203565,536640,214918.91999999987
15D,291805,684039,287220.7899999999
10J,272841,458761,268291.06000000006
99M,182687,423717,179975.65999999995
01R,321935,480149,320833.07999999996
00M,731276,902129,760400.9100000001
00T,462192,721922,497217.26999999996
00V,387194,535932,383607.32000000007
00Y,516680,669090,518387.39000000025
01D,365617,541252,368991.5299999999
01W,511115,739715,510793.7700000001
01Y,476888,679195,523987.13000000035
02A,280702,481756,307108.41999999987
00Q,394443,477806,385286.24000000005
00X,338919,492363,343339.76
02G,193136,278686,206535.32999999993
01F,259813,344480,263870.5199999999
00N,191753,365451,193973.18999999994
01H,863170,1044832,887133.99
02Y,922977,1050166,985083.0299999998
03F,719750,849377,781880.0200000003
03H,422028,529210,468386.5100000001
02Q,367060,402839,377551.3800000001
03L,817065,903830,888376.1500000001
03N,1230836,1541046,1258192.6300000001
02T,325288,537682,343757.5
03J,175279,380009,199069.05999999994
05A,1043375,1217286,1058133.83
05F,328436,482169,328799.30999999994
05J,114489,338487,115605.29999999996
05C,243626,648662,244237.90999999997
05Y,327305,665678,331102.20999999996
04E,682675,717919,692775.3500000003
04H,356167,427664,379938.3199999999
04L,221568,354656,233477.29999999987
15M,1547183,2561832,1537277.5799999998
07J,612402,666056,622592.5499999999
06Q,1044935,1221583,1093796.7599999993
07G,428081,491082,473281.0
99F,190603,419693,201808.93999999997
99G,159257,354713,173614.94999999995
04G,2257196,2312017,2251878.5800000024
06N,308160,990604,317376.68999999994
03W,611291,865768,630737.25
04C,823289,1010709,881355.2700000005
04V,852949,1057437,865488.6300000006
04Y,216704,360842,225103.6199999999
05G,538546,679921,557142.1300000001
05W,736749,936849,759033.8500000004
05X,128582,331305,129985.14
07M,159157,568971,165604.04999999984
08V,104258,321036,108130.32999999994
08E,254980,539632,282379.13999999996
07Q,122973,570138,126019.80999999991
08A,146603,409646,144237.17999999988
08K,79914,335031,82252.03999999992
08L,124167,394536,127705.62999999993
08Q,43022,295425,49054.93999999998
08T,178870,360660,200918.87999999995
11E,192489,360733,201879.4299999999
11X,1098243,1591763,1106597.7299999997
15N,1996146,3082131,2005423.1200000013
09E,257003,446789,260786.23999999993
09W,406437,657849,454004.29000000004
10D,132887,263573,135470.65999999997
10E,280877,378649,283955.11
99J,938302,1147677,956260.9899999995
09N,192436,372010,207464.72999999995
09Y,147712,559988,147772.9
99K,220987,381550,232927.3999999999
10Q,840403,1308073,840972.6900000006
15A,717462,1057268,777920.4300000002
10K,107129,393663,107280.97999999997
10L,268900,402333,279968.12999999995
11A,685227,1229381,704759.1500000003
11J,1298594,1965378,1361627.1200000003
02E,290091,462941,295983.81999999995
02F,423922,625131,427832.68000000005
00D,662822,862601,679673.2900000004
00J,362788,563358,380635.58999999997
00K,648923,881412,683054.83
02H,534215,869960,597349.8200000001
14L,968534,1224107,1002170.6899999996
00R,550127,615386,550121.88
01A,981452,1136902,942637.8200000004
02M,581109,646394,590246.6699999999
01V,305463,364068,307099.1
01X,492148,632805,494518.16000000003
00L,697789,955114,766726.7800000001
99C,208423,417659,229730.22999999992
03Q,683301,860114,726483.63
02N,270527,391195,292741.55
02W,206632,269520,255679.06000000006
03R,746338,1031106,851444.6600000004
15F,794202,1554736,843194.7600000008
05H,684235,709520,679797.7600000001
05R,583395,736412,581731.3300000001
05T,444380,702209,447046.14999999997
05L,720085,1207022,779923.6100000002
06H,1988042,2248479,2169016.8800000013
06L,937200,1192506,998327.39
06W,191851,386966,215821.18999999994
07K,798272,827472,824321.9500000002
06T,1231344,1291202,1311028.4399999997
04F,77340,417717,82733.94999999997
06F,893250,1188411,932799.3100000002
06K,1254711,1499513,1386998.6599999997
03T,851488,953393,919715.1100000003
04D,609093,696775,650311.7600000004
04Q,457075,484502,499151.0700000001
05D,300843,382292,305867.47
05Q,257083,500406,263189.61
07L,168778,344091,174203.16999999993
07X,297115,595205,299771.41
08D,89930,331197,90186.61999999997
08F,293991,571214,290344.7799999998
08W,102364,407228,106747.54999999997
07P,145720,519371,148547.00999999995
07Y,172498,438135,185029.77999999997
08G,217640,506123,213913.9899999998
08Y,63313,231903,71473.71999999997
09A,66122,206066,72735.56999999999
07N,65359,378893,65938.56
08J,64291,270038,64720.00999999997
08P,160605,317827,158566.20999999996
08R,97778,274127,106963.25000000001
08X,83513,331783,89343.50999999997
15C,457364,1545900,455828.8300000003
11N,1400906,1625158,1480832.0899999999
09C,222509,302414,222041.8
09J,182291,474347,185111.01999999993
09D,103497,354673,111693.87999999996
09H,169420,270314,176353.91999999995
09L,73989,301652,78331.49999999999
09X,151371,445478,165284.16999999998
14Y,733001,1160302,720759.1900000002
10R,82327,298272,85934.21
10V,211599,460424,210593.25999999992
10X,200797,453729,217605.07999999993
