chemical_code,items_28d,net_cost_28d
0105010B0,99665,1076723.1999999997
0202010B0,328986428,171168139.1399979
0202010P0,139381681,180001777.50999928
0205040D0,137754711,131706062.18999669
0205051L0,268498193,215158453.40001655
0205051M0,51694134,142684275.58999678
0205051R0,833289253,1020420107.8200425
0205052N0,475096864,1778940389.0699644
0206010K0,7856597,24850443.49999963
0206020A0,1342773990,995634637.8599896
0209000A0,171103284,134228855.239995
0209000C0,410595535,566796327.8700016
0212000B0,1708007015,1687272168.3999736
0212000Y0,917559042,734609178.080007
0403010B0,196245540,209332540.35999775
0403030D0,542711307,526983616.0699776
0403030Q0,831941582,882860566.4999981
0403040W0,15636900,57903452.34999556
0408010AE,40291939,70527205.02000014
0408010C0,3054679,4332264.79000015
0408010G0,20134310,18888798.91000054
0408010H0,22868918,112382568.17000565
0408010W0,2561044,9853175.259999942
0601021M0,101191055,97584058.37999812
0601022B0,239223782,240379151.559993
0602010V0,900444542,1101030372.9099782
